ID,Year,ProjectNumber,GrossDevt,Recovered,NetDevt
1,2007,11399,63491.65,17459.14,-46032.51
2,2007,2605,13739.43,0,-13739.43
3,2007,2542,9572,0,-9572
4,2007,2585,8605.1,0,-8605.1
5,2007,2518,16879.31,8892.31,-7987
6,2007,2403,9625.9,2709.5,-6916.4
7,2007,2559,6032,0,-6032
8,2007,2437,5635,0,-5635
9,2007,2540,5596.53,0,-5596.53
10,2007,2596,4679.71,0,-4679.71
11,2007,2450,4623.45,0,-4623.45
12,2007,2558A,4331.6,0,-4331.6
13,2007,2588,4306.2,0,-4306.2
14,2007,2404,4078,0,-4078
15,2007,2507,3594.97,0,-3594.97
16,2007,2581,3182.9,0,-3182.9
17,2007,2573,3178.4,0,-3178.4
18,2007,2584,3152,0,-3152
19,2007,2403A,2712,0,-2712
20,2007,2368,2883.11,284.11,-2599
21,2007,2480,2215.6,0,-2215.6
22,2007,2629,2139,0,-2139
23,2007,2506,2021,0,-2021
24,2007,2603,1702,0,-1702
25,2007,2512,1682,0,-1682
26,2007,2574,1660,0,-1660
27,2007,2496,1566,0,-1566
28,2007,2499,1536,0,-1536
29,2007,2490,1386,0,-1386
30,2007,2587,1218,0,-1218
31,2007,2598,1186,0,-1186
32,2007,2540A,1128.33,0,-1128.33
33,2007,2544,1073,0,-1073
34,2007,2602,1073,0,-1073
35,2007,2536,994,0,-994
36,2007,2524,990,0,-990
37,2007,2451,8095.74,7133.74,-962
38,2007,2606,928,0,-928
39,2007,2138C,796,0,-796
40,2007,2538,758,0,-758
41,2007,2572,696,0,-696
42,2007,2458,690.2,0,-690.2
43,2007,2590,690,0,-690
44,2007,2468,640.9,0,-640.9
45,2007,2446,600,0,-600
46,2007,2613,580,0,-580
47,2007,2495,535.7,0,-535.7
48,2007,2609,477,0,-477
49,2007,1172N,473,0,-473
50,2007,2504,460,0,-460
51,2007,2560,460,0,-460
52,2007,2579,438,0,-438
53,2007,2460,435,0,-435
54,2007,2482,16373,15958,-415
55,2007,2508,406,0,-406
56,2007,2127C,403.66,0,-403.66
57,2007,2453,391,0,-391
58,2007,2127B,575,203.85,-371.15
59,2007,2521,351,0,-351
60,2007,2575,345,0,-345
61,2007,2391,340,0,-340
62,2007,2396,319,0,-319
63,2007,2455,277.5,0,-277.5
64,2007,2586,276,0,-276
65,2007,2525,198,0,-198
66,2007,2615,174,0,-174
67,2007,2595,174,0,-174
68,2007,2338,150,0,-150
69,2007,2395,145,0,-145
70,2007,2383,768,630,-138
71,2007,2516,132,0,-132
72,2007,2600,116,0,-116
73,2007,2178,104.4,,-104.4
74,2007,2531,92,0,-92
75,2007,2457,92,0,-92
76,2007,2604,69,0,-69
77,2007,2138B,58,0,-58
78,2007,821D,55,0,-55
79,2007,2194,29,0,-29
80,2007,2439,5,0,-5
81,2007,2558,5838,5838,0
82,2007,2485,2760,2760,0
83,2007,2523,132,132,0
84,2007,1172L,869.45,869.45,0
85,2007,2483,1154.2,1154.2,0
86,2007,2489,19446.1,19446.1,0
87,2007,2571B,7464.47,7464.47,0
88,2007,2571A,3841,3841,0
89,2007,2469,1615,1615,0
90,2007,2537,1427,1427,0
91,2007,2233F,2212.8,2212.8,0
92,2007,2491,1173,1173,0
93,2007,2233G,749,749,0
94,2007,2385,610,610,0
95,2007,2492,527,527,0
96,2007,2505,230,230,0
97,2007,1108,0,0,0
98,2007,2037B,0,0,0
99,2007,2041,0,0,0
100,2007,2071,0,0,0
101,2007,2189H,0,0,0
102,2007,2303,0,0,0
103,2007,2244W,0,0,0
104,2007,2345,0,0,0
105,2007,2360,0,0,0
106,2007,2367,0,0,0
107,2007,2374,0,0,0
108,2007,2376,0,0,0
109,2007,2377,0,0,0
110,2007,2387,0,0,0
111,2007,2401,0,0,0
112,2007,2405,0,0,0
113,2007,2406A,3565,3565,0
114,2007,2407,0,0,0
115,2007,2408,0,0,0
116,2007,2409,0,0,0
117,2007,2411,0,0,0
118,2007,2412,0,0,0
119,2007,2419,0,0,0
120,2007,2428,0,0,0
121,2007,2429,0,0,0
122,2007,2430,756,756,0
123,2007,2436,0,0,0
124,2007,2438,0,0,0
125,2007,2441,0,0,0
126,2007,2454,0,0,0
127,2007,2500,3140,3140,0
128,2007,2486,2798.5,2798.5,0
129,2007,2066E,2461.21,2461.29,0.08
130,2007,2502,-62.64,0,62.64
131,2008,11399,49998.05,17198.5,-32799.55
132,2008,2702,11108.32,0,-11108.32
133,2008,2697,10686.13,0,-10686.13
134,2008,2650,9132,0,-9132
135,2008,2744,7239,,-7239
136,2008,2403,6316.5,0,-6316.5
137,2008,2673,5995.41,0,-5995.41
138,2008,2447,5775.99,0,-5775.99
139,2008,2742,4219.05,0,-4219.05
140,2008,2753,4149.87,0,-4149.87
141,2008,2404,4058,0,-4058
142,2008,2705,3543,0,-3543
143,2008,2542,3477.5,0,-3477.5
144,2008,2609,3277.5,0,-3277.5
145,2008,2748,3247,0,-3247
146,2008,2732,3205.5,0,-3205.5
147,2008,2736,3072,0,-3072
148,2008,2768,3017.87,0,-3017.87
149,2008,1172N,6309.18,3757,-2552.18
150,2008,2680,2511.99,0,-2511.99
151,2008,2691,2442,0,-2442
152,2008,2521,2376,0,-2376
153,2008,2645,2298.5,0,-2298.5
154,2008,2762,2257,0,-2257
155,2008,2642,2235.56,0,-2235.56
156,2008,2664,2232,0,-2232
157,2008,2694,2902.5,670.9,-2231.6
158,2008,2757,2226.5,,-2226.5
159,2008,2743,2203.3,0,-2203.3
160,2008,2655,2190.75,0,-2190.75
161,2008,2453,2039.94,0,-2039.94
162,2008,2439,2016,0,-2016
163,2008,2635,2013,0,-2013
164,2008,2662,1979.7,0,-1979.7
165,2008,2772,1931.3,0,-1931.3
166,2008,2660,1863.85,0,-1863.85
167,2008,2699,1742.96,0,-1742.96
168,2008,2676,1693,0,-1693
169,2008,2441,1560,0,-1560
170,2008,2629,1534.28,0,-1534.28
171,2008,2683,1527.39,0,-1527.39
172,2008,2127C,1506.77,0,-1506.77
173,2008,2731,1433.5,0,-1433.5
174,2008,2693,1387,0,-1387
175,2008,2698,1372.5,0,-1372.5
176,2008,2745,1369.45,0,-1369.45
177,2008,2657,1342,0,-1342
178,2008,2685,1334,0,-1334
179,2008,2667,1313,0,-1313
180,2008,2774,1181,0,-1181
181,2008,2647,1067.5,0,-1067.5
182,2008,2689,1035,0,-1035
183,2008,2769,1035,0,-1035
184,2008,2740,981,0,-981
185,2008,2640,976,0,-976
186,2008,2648,915.98,0,-915.98
187,2008,2637,915,0,-915
188,2008,2741,898.04,0,-898.04
189,2008,2696,854,0,-854
190,2008,2586,828,0,-828
191,2008,2037C,811,0,-811
192,2008,2746,805.5,0,-805.5
193,2008,2684,803,0,-803
194,2008,2641,771.03,0,-771.03
195,2008,2703,690,0,-690
196,2008,2670,621,0,-621
197,2008,2661,609,0,-609
198,2008,2764,525.01,0,-525.01
199,2008,2708,517.5,0,-517.5
200,2008,2398A,9947,9455,-492
201,2008,2649,488,0,-488
202,2008,2690,488,0,-488
203,2008,2773,488,0,-488
204,2008,2643,366,0,-366
205,2008,2663,366,0,-366
206,2008,2678,366,0,-366
207,2008,2733,360,0,-360
208,2008,2178,343.5,0,-343.5
209,2008,2754,317.87,,-317.87
210,2008,2674,305,0,-305
211,2008,2704,288,0,-288
212,2008,2759,288,0,-288
213,2008,2632,276,0,-276
214,2008,2537A,274.5,0,-274.5
215,2008,2735,270,0,-270
216,2008,2572,2301.23,2057,-244.23
217,2008,2613,213.5,0,-213.5
218,2008,2525,198,0,-198
219,2008,2669,192,0,-192
220,2008,2437,183,0,-183
221,2008,2602,183,0,-183
222,2008,2537D,183,0,-183
223,2008,2646,168,0,-168
224,2008,2460,122,0,-122
225,2008,2618,2074,1952,-122
226,2008,2624,122,0,-122
227,2008,2675,122,0,-122
228,2008,2700,122,0,-122
229,2008,2537B,91.5,0,-91.5
230,2008,2537C,91.5,0,-91.5
231,2008,2755,69,,-69
232,2008,2396,61,0,-61
233,2008,2656,30.5,0,-30.5
234,2008,2450,0,0,0
235,2008,2595,0,0,0
236,2008,2596,0,0,0
237,2008,2598,0,0,0
238,2008,2615,0,0,0
239,2008,2696A,0,0,0
240,2008,2540A,4424.5,5920.83,1496.33
241,2008,2558A,0,4469.6,4469.6
242,2008,2540,1456,7558.53,6102.53
243,2009,11399,47634.82,0,-47634.82
244,2009,4062,13002.66,,-13002.66
245,2009,4047,11755.39,,-11755.39
246,2009,4069,9184.5,,-9184.5
247,2009,2490B,7280,0,-7280
248,2009,4009,4940,,-4940
249,2009,2736,4503.3,,-4503.3
250,2009,2655,7201.86,3018.59,-4183.27
251,2009,2801,3900,,-3900
252,2009,4003,2855.59,,-2855.59
253,2009,5001,2811.85,,-2811.85
254,2009,2403,2470,,-2470
255,2009,4050,1974.95,,-1974.95
256,2009,6031b,1885,,-1885
257,2009,2744,1641.25,,-1641.25
258,2009,4064,1480,,-1480
