ID,Year,Month,Stage,ProjectNumber,Lead,ShortTitle,Programme,Funder,TotalBudget,StaffTime 
1,2007,1,1,2469,CDB,CBD PA Management Effectiveness,D5,CBD,15464,1031
2,2007,1,1,2028P,SH,Coral Reef Unit 2007,H4,UNEP DEPI,77577,68299
3,2007,1,1,2481,JC,Preparation of information document for CoP14,D3,CITES,2564,2564
4,2007,1,1,2487,IM,Synthesis map development for Nigeria and Guinea Bissau,C2,WWF,9025,4345
5,2007,1,2,2486,EM,2.3.5 High Seas MPAs,D5,EC (Through CBD),15001.77674,11251.33255
6,2007,1,2,2435,HG,SE Asia Trees Workshop UK,D3,DEFRA,71839.05013,53879.2876
7,2007,1,2,2435A,HG,SE Asia Trees Workshop NL,D3,Dutch Govt,52050.13193,39037.59894
8,2007,1,A,2066E,EC,ICRI Secretariat - 2007 - 2009,D4,US State Department,120000,90000
9,2007,1,A,1172M,LM,1172M - Orangutan Rapid Assessment,D4,UNEP GRID Arendal,5076.399817,5025.635819
10,2007,1,A,2189G,NA,2010 BIP Sweden MDGs,D4,Swedbio,34519.51876,25381.99909
11,2007,1,A,2189K,NA,2011 BIP Sweden Food and Medicine,D4,Swedbio,43149.39845,20305.59927
12,2007,1,A,2189L,NA,2012 BIP Sweden Health and Well Being,D4,Swedbio,27920.19899,2538.199909
13,2007,1,A,2343 ?,GF,CITES Support 2007/8,D3,CITES,50763.99817,50763.99817
14,2007,1,A,2359#,KZ,Second year of two-year MoU with DEWA,A1,DEWA,152291.9945,114218.9959
15,2007,1,A,2385,LM,REFORLAN,D4,University of Bournemouth,10000,7500
16,2007,1,A,2413,NA,MA methods manual,D4,Zayed prize-funded (via UNEP) ,126909.9954,48888
17,2007,1,A,2413A,NA,MA methods manual,D4,DEFRA,18000,12000
18,2007,1,A,2449,NA,Circumpolar Biodiversity Monitoring Programme 2006,D4,Canadian Government,13274.33628,6637.168142
19,2007,1,A,2453,RP,CMS Party Reports 2008,D3,CMS Secretariat,40611.19854,30000
20,2007,1,A,2456,CDB,IABIN Contacts Database,D5,OAS/IABIN,5076.399817,5076.399817
21,2007,1,A,2482,NA,2010 BIP,D4,UNEP GEF (following PDF phase),1827503.934,410903.9872
22,2007,1,A,2485,CDB,CBD WDPA Data Improvements,D5,CBD,27920.19899,27920.19899
23,2007,1,B,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,37500
24,2007,1,B,950,JMH,ECOiSHARE,A1,BP,50000,37500
25,2007,1,B,1122,JMH,Proteus,A1,Exon Mobil,50000,37500
26,2007,1,B,1122L,JMH,Proteus,A1,BHP Biliton,50000,37500
27,2007,1,B,1122L,JMH,Proteus,A1,Anglo Gold,50000,37500
28,2007,1,B,2189J,NA,2010 BIP Norway,D4,Norwegian Government,25381.99909,19036.49931
29,2007,1,B,2189I,NA,2010 BIP Indicatrors DEFRA,D4,DEFRA,101527.9963,76145.99726
30,2007,1,B,2244,TJ,IHS Energy,A1,Norsk Hydro,32247.82984,24185.87238
31,2007,1,B,2244,TJ,IHS Energy,A1,Anadarko,30458.3989,22843.79918
32,2007,1,B,2244,TJ,IHS Energy,A1,Petro Bras,40611.19854,30458.3989
33,2007,1,B,2244,TJ,IHS Energy,A1,Cairn Energy,2538.199909,1903.649931
34,2007,1,B,2244,TJ,IHS Energy,A1,JOGMEC,30458.3989,22843.79918
35,2007,1,B,2244,TJ,HIS Energy,A1,Columbia,20000,15000
36,2007,1,B,2395,LM,Web-based Literature  review - conservation,D4,"Manchester Uni, ESRC",5000,3750
37,2007,1,B,2396,LM,World Atlas of Biodiversity and Climate Change ,D4,"UNEP PCMU, UNEP DEWA",263972.7905,197979.5929
38,2007,1,B,2441,PB,Building national capacity for biodiversity indicators and reporting on MDG-7 and the 2010 Biodiversity Target in Southern and Eastern Africa,D4,"UNDA and also UNEP PCMU, UNEP DEWA",278440.53,59393.87786
39,2007,1,B,2451,IL,Landuse planning in East Africa,C2,WWF UK,20000,15000
40,2007,1,B,2457,LM,Island Database Workshop,D4,Various,25000,18750
41,2007,1,B,,NA,Arctic 2010 Biodiversity Assessment Report,D4,"CAFF, Arctic Governments",385883.905,289412.9288
42,2007,1,B,2480,LM,Climate Change Biodiversity Indicators,D4,with ADAS targetting DEFRA,60323,44639.02
43,2007,1,B,2432A,LM,IAASTD reports review,D4,UNEP,7614.599726,7614.599726
